English,हिंदी,ગુજરાતી,મરાઠી,ಕನ್ನಡ,മലയാളം,தமிழ்,తెలుగు,বাংলা,অসমীয়া,ਪੰਜਾਬੀ,ଓଡ଼ିଆ,नेपाली,डोगरी,कोंकणी,सिंधी,बोडो,मैथिली,মণিপুরী,संथाली,اردو,کٲشُر
Growth monitoring report for all health indicators,सभी स्वास्थ्य संकेतकों के लिए विकास निगरानी रिपोर्ट,તમામ સ્વાસ્થ્ય નિર્દેશાંકો માટે વૃદ્ધિને લગતા અહેવાલનું નિરીક્ષણ,सर्व आरोग्य निर्देशकांसाठी वाढ निरीक्षण अहवाल,ಎಲ್ಲಾ ಆರೋಗ್ಯ ಸೂಚಕಗಳಿಗೆ ಬೆಳವಣಿಗೆಯ ಮೇಲ್ವಿಚಾರಣಾ ವರದಿ,എല്ലാ ആരോഗ്യ സൂചകങ്ങള്‍ക്കുമുള്ള വളര്‍ച്ചാ നിരീക്ഷണ റിപ്പോര്‍ട്ട്,எல்லா ஆரோக்கியக் குறியீடுகளுக்கும் வளர்ச்சி கண்காணிப்பு அறிக்கை,అన్ని ఆరోగ్య సూచికల కోసం వృద్ధి పర్యవేక్షణ నివేదిక,সমস্ত স্বাস্থ্য সূচকের জন্য বৃদ্ধি পর্যবেক্ষণ প্রতিবেদন,সকলো স্বাস্থ্য সূচকৰ বাবে বিকাশ নিৰীক্ষণ প্ৰতিবেদন,ਸਾਰੇ ਸਿਹਤ ਸੰਕੇਤਕਾਂ ਲਈ ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਰਿਪੋਰਟ,ସମସ୍ତ ସ୍ୱାସ୍ଥ୍ୟ ସୂଚକ ପାଇଁ ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ରିପୋର୍ଟ,सबै स्वास्थ्य सूचकहरूका लागि वृद्धि अनुगमन रिपोर्ट,सब्भै सेह्त संकेतकें लेई विकास निगरानी रपोर्ट,सगल्या भलायकी दर्शकां खातीर वाड टेळणी अहवाल,वाधारपणो निगरानी रिपोरट समुरे सिहत ड॒सुडिंदड लाई,गासैबो सावस्रि बाहागोफोरनि देरनायखौ नायफामनायनि फोरमायथि,सभटा स्वास्थ्य संकेतक लेल विकास निगरानी रिपोर्ट,হেল্থ ইন্দিকেটর পুম্নমক্কী গ্রোথ মোনিটরিং রিপোর্ট,जोतो पोहलाङ उदुगाक् को ला़गित् लाहावाक् ञेल रिपोर्ट,صحت کے تمام اشاریوں کے لیے گروتھ مانیٹرنگ رپورٹ,تمام ہیلتھ انڈیکیٹرس باپتھ گروتھ مانیٹرنگ رپورٹ
Application downloaded status by AWW,आंगनवाड़ी कार्यकर्ता द्वारा एप्लीकेशन डाउनलोड की स्थिति,AWW દ્વારા અરજી ડાઉનલોડ કરવામાં આવી તેને લગતી સ્થિતિ,सर्व आरोग्य निर्देशकांसाठी(इंडिकेटर)ग्रोथ मॉनिटरिंग अहवाल,ಎಡಬ್ಲ್ಯೂಡಬ್ಲ್ಯೂ ಮೂಲಕ ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್‌ಲೋಡ್ ಮಾಡಲಾದ ಸ್ಥಿತಿ,AWW അപേക്ഷ ഡൌണ്‍ലോഡ് ചെയ്ത നില,AWW-ஆல் செயலி பதிவிறக்கம் செய்யப்பட்ட நிலை,AWW ద్వారా అప్లికేషన్ డౌన్‌లోడ్ చేయబడిన స్థితి,এডাব্লুডাব্লু (AWW) দ্বারা অ্যাপ্লিকেশন ডাউনলোড করা স্ট্যাটাস,AWC ৰ দ্বাৰা এপ্লিকেচন ডাউনলোড কৰাৰ স্থিতি,AWW ਦੁਆਰਾ ਐਪਲੀਕੇਸ਼ਨ ਡਾਊਨਲੋਡ ਕੀਤੀ,ଏଡବ୍ଲୁଡବ୍ଲୁ ଦ୍ୱାରା ଆପ୍ଲିକେସନ୍ ଡାଉନଲୋଡ୍ ସ୍ଥିତି,AWW द्वारा आवेदन डाउनलोड गरिएको स्थिति,एडब्ल्यूडब्ल्यू (AWW) आस्सेआ ऐप्लिकेशन डाउनलोड दा स्टेटस,आंगणवाडी कर्मचा-या कडल्यान डावनलोड केल्ली ऍप्लिकेशन स्थिती,ऐपलिकेशन जो डाउंलोड जी हालत AWW पारां,AWW आ एप्लिकेसनखौ दाउनल'ड खालामनायनि थामान,AWW द्वारा एप्लीकेशन डाउनलोड करबाक स्थिति,AWW না এপ্লিকেসন দাউনলোদ তৌবগী ষ্টেটস,ए.डाब्लू.डाब्लू. दाराय ते एपलिकेसान आ़तुर आंड़गो दोसा,AWW کے ذریعہ ایپلیکیشن ڈاؤن لوڈ کی گئی حیثیت,AWW کٕہ ذریعہ ایپلی کیشن ڈاؤن لوڈ سٹیٹس
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थी गणना रिपोर्ट : निष्क्रिय होने वाले रिकॉर्डों  की संख्या और एक श्रेणी से दूसरी श्रेणी में जाने वाले रिकॉर्डों  की संख्या,લાભાર્થી ગણતરી અહેવાલ : સંખ્યાબંધ રેકોર્ડ્સ નિષ્ક્રીય બની રહ્યો છે અને સંખ્યાબંધ રેકોર્ડ એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થઈ રહેલ છે,लाभार्थी गणना अहवाल : निष्क्रीय होणाऱ्या नोंदींची संख्या आणि एका श्रेणीतून दुसऱ्यात स्थलांतरित होणाऱ्या नोंदींची संख्या,ಫಲಾನುಭವಿಗಳ ಎಣಿಕೆ ವರದಿ : ನಿಷ್ಕ್ರಿಯವಾಗುತ್ತಿರುವ ದಾಖಲೆಗಳ ಸಂಖ್ಯೆ ಮತ್ತು ಒಂದು ವರ್ಗದಿಂದ ಇನ್ನೊಂದಕ್ಕೆ ಸ್ಥಳಾಂತರಗೊಳ್ಳುವ ದಾಖಲೆಗಳ ಸಂಖ್ಯೆ,"ഗുണഭോക്താക്കളുടെ എണ്ണത്തിന്‍റെ റിപ്പോര്‍ട്ട് : പ്രവര്‍ത്തനരഹിതമാകുന്ന റെക്കോര്‍ഡുകളുടെ എണ്ണം, ഒരു വിഭാഗത്തില്‍ നിന്നും മറ്റൊന്നിലേക്ക് മാറുന്ന റെക്കോര്‍ഡുകളുടെ എണ്ണം",பயனாளர் எண்ணிக்கை அறிக்கை : செயலற்றவையாக ஆகிக் கொண்டிருக்கும் பதிவுகளின் எண்ணிக்கை மற்றும் ஒரு வகையிலிருந்து இன்னொன்றுக்கு மாறும் பதிவுகளின் எண்ணிக்கை,లబ్ధిదారుని గణన నివేదిక : నిష్క్రియంగా మారుతున్న రికార్డ్‌ల సంఖ్య మరియు ఒక కేటగిరీ నుండి మరో కేటగిరీకి మారుతున్న రికార్డ్‌ల సంఖ్య,সুবিধাভোগীর সংখ্যা গণনার রিপোর্ট : নিষ্ক্রিয় হওয়া রেকর্ডের সংখ্যা এবং এক বিভাগ থেকে অন্য বিভাগে স্থানান্তরিত রেকর্ডের সংখ্যা,বেনিফিচাৰী গণনা প্ৰতিবেদন : নিষ্ক্ৰিয় হৈ পৰা ৰেকৰ্ডৰ সংখ্যা আৰু এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা ৰেকৰ্ডৰ সংখ্যা,ਲਾਭਪਾਤਰੀ ਗਿਣਤੀ ਰਿਪੋਰਟ : ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਅਕਿਰਿਆਸ਼ੀਲ ਹੋਣਾ ਅਤੇ ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਇੱਕ ਸ਼੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ,ହିତାଧିକାରୀ ଗଣନା ରିପୋର୍ଟ : ରେକର୍ଡଗୁଡିକର ସଂଖ୍ୟା ନିଷ୍କ୍ରିୟ ହେବା ଏବଂ ଗୋଟିଏ ବର୍ଗରୁ ଅନ୍ୟ ବର୍ଗକୁ ସ୍ଥାନାନ୍ତରିତ ରେକର୍ଡ୍ ସଂଖ୍ୟା,लाभार्थी गणनाको रिपोर्ट : निष्क्रिय हुने रेकर्डहरूको संख्या र एक श्रेणीबाट अर्को श्रेणीमा सर्ने रेकर्डहरूको संख्या,लाभार्थी गिनती दी रपोर्ट : इनएक्टिव होने आह्ले रकार्डें दी गिनतरी ते इक कैटागिरी थमां दुए कैटागिरी च माइग्रेट करने आह्ले रकार्डें दी गिनतरी,लाभार्थी मेजणी अहवाल : निश्क्रीय जावप्यांची नोंदींची संख्या आनी एके वर्गातल्यान दुसरे वर्गात वचपींच्या नोंदीची संख्या,फाईदोवठिंदड जे गणप जी रिपोर्ट : अणसुजाग थिंदड रेकार्डन जी गणप ऐं हिक विभाग खां बे॒ विभाग लडि॒यलु रेकार्डअ,मुलाम्फा मोनग्राफोरनि अनजिमाखौ साननायनि फोरमायथि : उदायै जालांगासिनो थानाय रेबगान्थिफोरनि अनजिमा आरो मोनसे थाखोनिफ्राइ गुबुन मोनसे थाखोआव सोलायजानाय रेबगान्थिफोरनि अनजिमा,लाभार्थीक गणना रिपोर्ट : रिकॉर्ड सभक संख्या जे निष्क्रिय भए रहल अछि आ रिकॉर्ड सभक संख्या जे एक श्रेणी सँ दोसर श्रेणी मे माइग्रेट भए रहल अछि,বেনিফিসরী মশীংগী রিপোর্ট : ইনএক্টিব ওইরিবা রেকোর্দশিংগী মশিং অমসুং কেটগোরী অমদগী অতোপ্পা অমদা মফম হোংদোক্লিবা রেকোর্দশিংগী মশিং,लाभ ञाम कोवाक् लेखा रिपोर्ट : रेकोर्ड को रेयाक् लेखा बाङ चोगोड़ोक् आ आर रेकोर्ड को मित् हा़टिञ खोन एटाक् रे चालाक् तेयाक् लेखा,فائدہ اٹھانے والوں کی گنتی کی رپورٹ : غیر فعال ہونے والے ریکارڈز کی تعداد اور ایک زمرے سے دوسرے میں منتقل ہونے والے ریکارڈز کی تعداد,بنیفِشری کاؤنٹ رپورٹ : غٲر فعال سپدن والٮ۪ن ریکارڈَن ہُنٛد تعداد تٕہ اَکٕہ زمرہ پٮ۪ٹھۍ بییِس زمرَس مَنٛز ہجرت کرن والٮ۪ن ریکارڈَن ہُنٛد تعداد
Resources for growth monitoring and general awareness,विकास निगरानी और सामान्य जागरूकता के लिए संसाधन,વૃદ્ધિનું નિરીક્ષણ અને સામાન્ય જાગૃત્તિ માટે સંશાધનો,ग्रोथ मॉनिटरिंग आणि सामान्य जागरूकता साठी संसाधने,ಬೆಳವಣಿಗೆಯ ಮೇಲ್ವಿಚಾರಣೆ ಮತ್ತು ಸಾಮಾನ್ಯ ಜಾಗೃತಿಗಾಗಿ ಸಂಪನ್ಮೂಲಗಳು,വളര്‍ച്ചാ നിരീക്ഷണത്തിനും പൊതുഅവബോധത്തിനുമുള്ള വിഭവങ്ങള്‍,வளர்ச்சியைக் கண்காணித்தல் மற்றும் பொதுவான புரிதலுக்கான வளங்கள்,వృద్ధి పర్యవేక్షణ మరియు సాధారణ అవగాహన కోసం వనరులు,বৃদ্ধি পর্যবেক্ষণ এবং সাধারণ সচেতনতা জন্য সম্পদ,বিকাশ নিৰীক্ষণ আৰু সাধাৰণ সজাগতাৰ বাবে সম্পদ,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਅਤੇ ਆਮ ਜਾਗਰੂਕਤਾ ਲਈ ਸ੍ਰੋਤ,ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ଏବଂ ସାଧାରଣ ସଚେତନତା ପାଇଁ ସମ୍ବଳ,वृद्धि अनुगमन र सामान्य जागरूकताका लागि संसाधन,ग्रोथ मॉनिटिरंग ते जनरल अवेयरनेस आस्तै रिसोर्सेज,वाड टेळणी आनी सामान्य जागृतायेखातीर संसाधनां,विधारे निगरानी ऐं आम जाणि लाई वसिला,देरनायखौ नायफामनाय आरो गोरलै सांग्रांथिनि फुंखाफोर,विकास निगरानी आ सामान्य जागरूकता लेल संसाधन सभ,গ্রোথ মোনিটরিং অমসুং জেনরেল এৱারনেসকী ওইবা রিসোর্সশিং,लाहाक् ञेल आर साधारोन जागवार ला़गित् सोत,ترقی کی نگرانی اور عمومی آگاہی کے لیے وسائل,گروتھ مانیٹرنگ تٕہ عام بیدٲری باپتھ وسٲئل
Growth monitoring charts,विकास पर्यवेक्षण चार्ट,વૃદ્ધિના નિરીક્ષણને લગતા કોષ્ટકો,ग्रोथ मॉनिटरिंग  चार्ट,ಬೆಳವಣಿಗೆಯ ಮಾನಿಟರಿಂಗ್ ಚಾರ್ಟ್‌ಗಳು,വളര്‍ച്ചാ നിരീക്ഷണ ചാര്‍ട്ടുകള്‍,வளர்ச்சி கண்காணிப்பு வரைபடங்கள்,వృద్ధి పర్యవేక్షణ పటాలు,বৃদ্ধি পর্যবেক্ষণ চার্ট,বিকাশ নিৰীক্ষণ চাৰ্ট,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਚਾਰਟ,ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ଚାର୍ଟଗୁଡିକ,वृद्धि अनुगमन चार्ट,ग्रोथ मॉनिटिरंग चार्ट,वाड टेळणी तकटे,वाधोरो निगरानी कंदड चार्टअ,देरनायखौ नायफामनायनि चार्ट,विकास निगरानी चार्ट सभ,গ্রোথ মোনিটরিং চার্টশিং,लाहा ञेलाक् चार्ट,نمو کی نگرانی کے چارٹس,گروتھ مانیٹرنگ چارٹس
New beneficiary addition with skip OTP option,स्किप ओटीपी विकल्प के साथ नई  लाभार्थी संयोजन,OTP વિકલ્પ ઉમેરવા સાથે નવા લાભાર્થી ઉમેરવા,"ओटीपी वगळा, पर्यायासह नवीन लाभार्थी जोडणे",ಸ್ಕಿಪ್ OTP ಆಯ್ಕೆಯೊಂದಿಗೆ ಹೊಸ ಫಲಾನುಭವಿ ಸೇರ್ಪಡೆ,OTP ഒഴിവാക്കിക്കൊണ്ടുള്ള പുതിയ ഗുണഭോക്താക്കളെ കൂട്ടിച്ചേര്‍ക്കല്‍,ஓ டி பியைத் தவிர்க்கும் விருப்பத் தேர்வுடனான புதிய பயனாளர் சேர்ப்பு,స్కిప్ OTP ఎంపికతో కొత్త లబ్ధిదారుని జోడింపు,স্কিপ OTP বিকল্পের সাথে নতুন সুবিধাভোগী সংযোজন,স্কিপ OTP  বিকল্পৰ সৈতে নতুন বেনিফিচাৰীৰ সংযোজন,OTP ਛੱਡੋ ਵਿਕਲਪ ਦੇ ਨਾਲ ਨਵਾਂ ਲਾਭਪਾਤਰੀ ਐਡੀਸ਼ਨ,ସ୍କିପ୍ OTP ବିକଳ୍ପ ସହିତ ନୂତନ ହିତାଧିକାରୀ ଯୋଗ,नयाँ लाभार्थी थप्दा OTP नलगाई अगाडि जान सकिने विकल्प,ओटीपी (OTP) आप्शन स्किप कन्नै नमां लाभार्थी जोड़ेआ गेआ,OTP गाळचो पर्याया सयत नवी लाभार्थी पुरवणी,नयो फाईदोवठिंदड गंढायप नजपअंदाज कंदड OTP विकल्प सां,OTP अप्सनखौ गारनानै गोदान मुलाम्फा गोनग्राखौ सोनाय,OTP मुक्त विकल्प सँ नव लाभार्थी जोड़,স্কিপ OTP ওপসনগা লোয়ননা অনৌবা বেনিফিসরী হাপচিনবা,आड़ागाक् OTP एपेटाक् सांव नावा लाभ ञाम को सामिल,لیو ون ٹائم پاس ورڈ آپشن کے ساتھ نیا فائدہ اٹھانے والوں کا اضافہ,OTP اختیار یَلٕہ ترٲوِتھۍ نو بنیفِشری شٲمل کرُن
Mobile number need to be validated within a week,मोबाइल नंबर को एक सप्ताह के अंदर सत्यापित करने की आवश्यकता है,એક સપ્તાહમાં માન્યતા આપવા મોબાઈલ નંબરની જરૂર છે,एका आठवड्यात मोबाईल क्रमांक सत्यापित करणे आवश्यक आहे,ಒಂದು ವಾರದೊಳಗೆ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಮೌಲ್ಯೀಕರಿಸಬೇಕು,മൊബൈല്‍ നമ്പര്‍ ഒരാഴ്ചക്കുള്ളില്‍ സാധൂകരിക്കണം,கைபேசி எண் ஒரு வாரத்துக்குள் சரிபார்க்கப்பட வேண்டும்,మొబైల్ నంబర్‌ను వారంలోపు ధృవీకరించాలి,মোবাইল নম্বরটি এক সপ্তাহের মধ্যে যাচাই করতে হবে,ম'বাইল এসপ্তাহৰ ভিতৰত বৈধ কৰিব লাগিব,ਮੋਬਾਇਲ ਨੰਬਰ ਦਾ ਹਫਤੇ ਵਿੱਚ ਵੈਧ ਕਰਾਉਣ ਦੀ ਲੋੜ ਹੈ,ଏକ ସପ୍ତାହ ମଧ୍ୟରେ ମୋବାଇଲ୍ ନମ୍ଵର୍ ବୈଧ ହେବା ଆବଶ୍ୟକ,मोबाइल नम्बर एक हप्ताभित्र प्रमाणीकरण गर्न आवश्यक छ,मोबाइल नंबर गी इक हफ्ते दे अंदर वैलिडेशन करने दी लोड़ ऐ,एके सप्तका भितर मोबायल नंबर सत्यापित करपाची गरज आसतली,मोबाईल नम्बर जे साबित करणो पवंदो हिक हफिते में,म'बाइल नाम्बारखौ सप्तासेनि गेजेरावनो रोखा खालामनांगौ,मोबाइल नंबर केँ एक सप्ताहक अंदर सत्यापित करबाक जरूरत अछि,মোবাইল নম্বর চয়োল অমগী মনুংদা ভেলিদেট তৌবা মথৌ তাই,मोबाइल नोमबोर को मितहाट भितिर तुला पा़यला होचो ला़कतिया,ایک ہفتے کے اندر موبائل نمبر کی توثیق کرنے کی ضرورت ہے۔,موبائل نمبر چُھ أکِس ہفتس اندر تصدیق کرنِچ ضورتھ
Anganwadi Worker profile page,आंगनवाड़ी कार्यकर्ता प्रोफाइल पेज,આંગણવાડી કાર્યકર્તાનું પ્રોફાઈલ પેજ,अंगणवाडी सेविका वर्णन पान,ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತೆಯರ ಪ್ರೊಫೈಲ್ ಪುಟ,അംഗന്‍വാടി പ്രവര്‍ത്തകയുടെ പ്രൊഫൈല്‍ പേജ്,அங்கண்வாடி ஊழியர் சுயவிவரப் பக்கம்,అంగన్‌వాడీ కార్యకర్త ప్రొఫైల్ పేజీ,অঙ্গনওয়াড়ি কর্মীর প্রোফাইল পেজ,অংগনৱাড়ী কৰ্মী প্ৰ'ফাইল পৃষ্ঠা,ਆਂਗਣਵਾੜੀ ਕਰਮਚਾਰੀ ਪ੍ਰੋਫ਼ਾਈਲ ਪੇਜ,ଅଙ୍ଗନୱାଡି ୱାର୍କର ପ୍ରୋଫାଇଲ୍ ପୃଷ୍ଠା,आंगनवाडी कार्यकर्ताको प्रोफाइल पेज,आंगनबाड़ी कार्जकर्ता प्रोफाइल पेज,आंगणवाडी कामगाराचें प्रोफायल पान,आङनवाडी कारुकनु रुपरेखा सुफो,अंगनवाडी मावथिनि प्रफाइल बिलाइ,आँगनबाड़ी कार्यकर्ता प्रोफाइल पेज,আঙ্গনৱাদী ৱাৰ্করগী প্রোফাইল পেজ,आंगोनवाड़ी का़मी कोवाक् प्रोफाइल साहटा,آنگن واڑی ورکر پروفائل پیج,آنگن واڈی ورکر پروفائل صفحہ
Stunting and Underweight Growth Parameters,बौनापन और सामान्य से कम वजन के विकास मानक,વૃદ્ધિ અટકી જવી અને ઓછા વજન સાથે વૃદ્ધિને લગતા માપદંડો,खुंटणे आणि कमी वजन वाढीचे मापदंड,ಕುಂಠಿತ ಮತ್ತು ಕಡಿಮೆ ತೂಕದ ಬೆಳವಣಿಗೆಯ ನಿಯತಾಂಕಗಳು,മുരടിപ്പിന്‍റേയും ഭാരക്കുറവിന്‍റേയും വളര്‍ച്ചാ മാനദണ്ഡങ്ങള്‍,தடைபட்ட மற்றும் எடைக்குறைவு வளர்ச்சி அளவுருக்கள்,ఎదుగుదల లేకపోవడం మరియు తక్కువ బరువు ఎదుగుదల పారామితులు,স্টান্টিং এবং কম ওজন বৃদ্ধির স্থিতিমাপ,ষ্টান্টিং আৰু কম ওজন বিকাশৰ মাপকাঠি,ਸਟੰਟਿੰਗ ਅਤੇ ਘੱਟ ਭਾਰ ਵਿਕਾਸ ਮਾਪਦੰਡ,ଷ୍ଟଣ୍ଟିଂ ଏବଂ କମ୍ ଓଜନ ଅଭିବୃଦ୍ଧି ପାରାମିଟର୍,स्टंटिङ र कम वजन वृद्धिका प्यारामिटरहरू,स्टंटिंग ते अंडरवेट ग्रोथ पैरामीटर,मोटवें आनी कमी वजनाच्या विकासाचे पॅरामिटर्स,शंटिंग ऐं घठाईंदी-वजन जे वादारपणे जा मापदंढअ,देरख'हायै आरो खम लिरथाइजों देरनायनि जाहोनफोर,स्टंटिंग आ कम वजन वृद्धि केर मापदंड,চাউজন থীবা অমসুং অরুম্বা শুদবগী গ্রোথ পেরামিটরশিং,स्टंटिंग आर कोम ओजोन बाड़हाव पारामीटार को,سٹنٹنگ اور کم وزن میں اضافے کے پیرامیٹرز,سٹنٹنگ تٕہ کم وزن نشو و نما پیرامیٹرس
Beneficiaries status change notifications,लाभार्थियों की स्थिति परिवर्तन सूचनाएं,લાભાર્થીઓને લગતા દરજ્જામાં ફેરફાર અંગે નોટિફિકેશન્સ,लाभार्थ्यांची स्थिती बदलण्याच्या सूचना,ಫಲಾನುಭವಿಗಳ ಸ್ಥಿತಿ ಬದಲಾವಣೆ ಅಧಿಸೂಚನೆಗಳು,ഗുണഭോക്താവിന്‍റെ മാറ്റത്തെകുറിച്ചുള്ള അറിയിപ്പുകള്‍,பயனாளர்களின் நிலை மாற்ற அறிவிப்புகள்,లబ్ధిదారుల స్థితి మార్పు నోటిఫికేషన్‌లు,সুবিধাভোগীদের অবস্থা পরিবর্তন বিষয়ক নোটিফিকেশন,বেনিফিচাৰীৰ স্থিতি পৰিৱৰ্তনৰ জাননী,ਲਾਭਪਾਤਰੀਆਂ ਦਾ ਸਟੇਟਸ ਨੋਟੀਫਿਕੇਸ਼ਨਾਂ ਬਦਲਦਾ ਹੈ,ହିତାଧିକାରୀଙ୍କ ସ୍ଥିତି ପରିବର୍ତ୍ତନ ବିଜ୍ଞପ୍ତିଗୁଡିକ,लाभार्थीको स्थिति परिवर्तन गर्ने सूचनाहरू,लाभार्थियें दे स्टेटस दे बदलाव दी नोटिफिकेशन,लाभार्थी स्थिती बदल अधिसुचोवण्यो,फाईदोवठिंदड हालत मटिंदा पधिराईयूं,मुलाम्फा मोनग्राफोरनि थामान सोलायनायनि मिथिसार होनायफोर,लाभार्थी सभक स्थिति परिवर्तन अधिसूचना,বেনিফিসরীশিংগী ষ্টেটস হোংদোকপগী নোটিফিকেসনশিং,लाभ ञाम कोवाक् दोसा रे बोदोल रेयाक् इतलाइ,فائدہ اٹھانے والوں کی حیثیت میں تبدیلی کی اطلاعات,بنیفِشری سٹیٹس بدلاؤ نوٹفِکیشنٕ
Migrated from one category to another,एक श्रेणी से दूसरी श्रेणी में स्थानांतरण,એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થયેલ,एका श्रेणीतून दुसऱ्यात स्थलांतरित झाले,ಒಂದು ವರ್ಗದಿಂದ ಇನ್ನೊಂದು ವರ್ಗಕ್ಕೆ ವಲಸೆ ಹೋಗಿದ್ದಾರೆ,ഒരു വിഭാഗത്തില്‍ നിന്നും മറ്റൊന്നിലേക്ക് മാറി,ஒரு பிரிவிலிருந்து இன்னொன்றுக்கு மாறி இருக்கிறார்,ఒక వర్గం నుండి మరొక వర్గానికి మారి వచ్చారు,এক শ্রেণী থেকে অন্য শ্রেণীতে স্থানান্তরিত হয়েছে,এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা হৈছে,ਇੱਕ ਸ਼੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ,ଗୋଟିଏ ବର୍ଗରୁ ଅନ୍ୟ ବର୍ଗକୁ ସ୍ଥାନାନ୍ତରିତ ହୋଇଛି,एक श्रेणीबाट अर्को श्रेणीमा सरेको छ,इक कैटागिरी थमां दुए कैटागिरी च माइग्रेट,एके वर्गातल्यान दुसरे वर्गांत स्थलांतरण केलां,बिक विभाग खां बे॒ ते लडणु,मोनसे थाखोनिफ्राइ गुबुन मोनसे थाखोआव सोलायनाय जाबाय,एक श्रेणी सँ दोसर श्रेणी मे माइग्रेट कयल गेल,কেটগোরী অমদগী অতোপ্পা অমদা মফম হোংদোক্লে,मित् हाटिञ खोन एटाक् हा़टिञ रे उचाड़ चालावेना,ایک زمرے سے دوسرے زمرے میں منتقل ہوئے۔,اَکٕہ زمرہ پٮ۪ٹھۍ بییِس زمرَس مَنٛز ہجرت
Beneficiary record becoming inactive,निष्क्रिय हो रहा लाभार्थी का रिकॉर्ड,લાભાર્થીને લગતો રેકોર્ડ નિષ્ક્રીય બની રહ્યો છે,लाभार्थी रेकॉर्ड निष्क्रिय होत आहे,ಫಲಾನುಭವಿ ದಾಖಲೆ ನಿಷ್ಕ್ರಿಯವಾಗುತ್ತಿದೆ,ഗുണഭോക്താവിന്‍റെ വിവരങ്ങള്‍ പ്രവര്‍ത്തനരഹിതമാകുന്നു,பயனானாளர் பதிவு செயலற்றதாக ஆகிக் கொண்டிருக்கிறது,లబ్ధిదారుని రికార్డు నిష్క్రియంగా మారుతోంది,সুবিধাভোগী রেকর্ড নিষ্ক্রিয় হয়ে যাচ্ছে,বেনিফিচাৰীৰ ৰেকৰ্ড নিষ্ক্ৰিয় হোৱা,ਲਾਭਪਾਤਰੀ ਰਿਕਾਰਡ ਦਾ ਅਕਿਰਿਆਸ਼ੀਲ ਹੋਣਾ,ହିତାଧିକାରୀ ରେକର୍ଡ ନିଷ୍କ୍ରିୟ ହେବା,लाभार्थीको रेकर्ड निष्क्रिय हुँदैछ,इनएक्टिव होआ’रदा लाभार्थी रिकार्ड,लाभार्थी नोंद निश्क्रीय जाता,फाईदोवठिंदड रेकार्डअणसुजाग था थिंदा वञिनि,मुलाम्फा मोनग्रानि रेबगान्थिया उदायै जालांसिनो दं,लाभार्थीक रिकॉर्ड जे निष्क्रिय भए रहल अछि,বেনিফিসরী রেকোর্দ ইনএক্টিব ওইরে,लाभ नाम कोवाक् रेकोर्ड बाङ चोगोड़ोक् काना,فائدہ اٹھانے والوں کا ریکارڈ غیر فعال ہو رہا ہے۔,بنیفِشری سُنٛد ریکارڈ چھُ غٲر فعال بنان
